Day,Phase,Type,Topic,Activity,Resource,Completed,Grade
1,1 - Core Deep Dive,Learn,Request Lifecycle,Read Rails Guides on routing end-to-end. Trace a request from router to controller to view in a sample app.,Rails Guides - Routing,x,82
2,1 - Core Deep Dive,Learn,Request Lifecycle,Read ActionDispatch middleware stack source. Run `rake middleware` and understand each layer.,Rails source - actionpack/lib/action_dispatch,x,78
3,1 - Core Deep Dive,Learn,Active Record Internals,Read Rails Guides on Active Record fully. Focus on connection handling and query interface.,Rails Guides - Active Record Basics,x,75
4,1 - Core Deep Dive,Learn,Active Record Internals,Study Arel and how AR builds SQL. Run `to_sql` on complex queries. Practice joins vs includes vs eager_load vs preload.,Rails source - activerecord/lib/arel,x,80
5,1 - Core Deep Dive,Learn,Active Record Internals,Study AR callbacks lifecycle. Map out the full callback chain for create/update/destroy.,Rails Guides - Active Record Callbacks,x,83
6,1 - Core Deep Dive,Build,Project Setup,"Generate BillFlow app (no scaffold). Create Client model with: name, email, company, phone, notes. Write migration with indexes.",Self-directed,x,89
7,1 - Core Deep Dive,Build,Project Setup,"Create Project model: belongs_to Client, has name, description, hourly_rate, status (enum: active/archived/completed). Add foreign key constraints.",Self-directed,x,90
8,1 - Core Deep Dive,Build,Project Setup,"Create TimeEntry model: belongs_to Project, has description, started_at, ended_at, billable (boolean). Add validation for ended_at > started_at.",Self-directed,x,91
9,1 - Core Deep Dive,Learn,Migrations & Schema,Study strong_migrations gem. Understand why certain migrations are dangerous. Write complex migrations with conditional indexes.,strong_migrations GitHub README,x,86
10,1 - Core Deep Dive,Build,Project Models,"Create Invoice model: belongs_to Client, has number (auto-generated), status (draft/sent/paid/overdue), issued_on, due_on, notes. Create LineItem model: belongs_to Invoice, has description, quantity, unit_price.",Self-directed,x,87
11,1 - Core Deep Dive,Build,Project Models,"Add model validations and associations throughout. Implement Invoice#total, Invoice#generate_number, and TimeEntry#duration methods. Write scopes: Invoice.overdue, Project.active, TimeEntry.billable.",Self-directed,x,80
12,1 - Core Deep Dive,Learn,Action Controller,Read controller source. Understand filters/params/rendering/redirecting internals.,Rails source - actionpack/lib/action_controller,
27,2 - Testing,Build,Model Tests,"Write model tests for Client, Project, TimeEntry: validations, associations, scopes, and custom methods (duration, total, generate_number).",Self-directed,
28,2 - Testing,Build,Model Tests,"Write model tests for Invoice and LineItem. Test the invoice creation workflow: generating from time entries, status transitions, total calculations.",Self-directed,
29,2 - Testing,Learn,Fixtures & Factories,Set up factory_bot. Create factories for all models with traits (e.g. invoice :paid :overdue). Compare to fixtures approach.,factory_bot GitHub docs,
30,2 - Testing,Build,Controller Tests,Write controller tests for ClientsController and ProjectsController. Test CRUD operations and authorization edge cases.,Self-directed,
31,2 - Testing,Build,Controller Tests,Write controller tests for InvoicesController including the multi-step creation flow. Test TimeEntriesController.,Self-directed,
32,2 - Testing,Learn,Integration Tests,Study integration and system tests. Set up Capybara for system tests.,Rails Guides - Testing + Capybara README,
33,2 - Testing,Build,System Tests,Write system tests for critical flows: create client → create project → log time → generate invoice → send invoice. Test the full happy path.,Self-directed,
34,2 - Testing,Learn,Test Patterns,Learn mocks/stubs/spies. Study when to use real objects vs doubles. Practice testing service objects.,Martin Fowler - Mocks Aren't Stubs,
35,2 - Testing,Build,Mailer Tests,Write mailer tests for InvoiceMailer and ReminderMailer. Test email content and recipients. Mock external delivery.,Self-directed,
36,2 - Testing,Learn,Debugging & Quality,Master debug gem. Set up SimpleCov and RuboCop. Identify untested paths.,debug gem + simplecov + rubocop docs,
37,2 - Testing,Build,Coverage & Quality,"Run SimpleCov, identify gaps, write tests to reach 90%+ on models. Fix RuboCop offenses in the project.",Self-directed,
38,2 - Testing,Learn,Refactoring,Study SOLID principles applied to Rails. Practice extract method/extract class patterns.,Sandi Metz - POODR concepts,
39,2 - Testing,Build,Refactoring,Refactor BillFlow: extract InvoiceGenerator service object from controller. Extract TimeEntry.billable_for_client scope. Clean up any fat controller actions.,Self-directed,
40,2 - Testing,Build,Consolidation,Full test suite review. Ensure all edge cases covered: what happens when invoice has zero line items? When time entry has no end time? Run full suite green.,Self-directed,
41,3 - Hotwire,Learn,Turbo Drive,Read Hotwire docs on Turbo Drive. Understand how it intercepts links and forms. Practice disabling selectively.,hotwired.dev,
42,3 - Hotwire,Build,Turbo Drive,Enable Turbo Drive in BillFlow. Fix any forms that break. Add data-turbo-method where needed. Ensure flash messages work with Turbo.,Self-directed,
43,3 - Hotwire,Learn,Turbo Frames,Study Turbo Frames: lazy loading and scoped navigation. Build practice examples with inline editing.,hotwired.dev,
44,3 - Hotwire,Build,Turbo Frames,Add inline editing to time entries: click a row to edit in-place without page reload. Use Turbo Frames to scope the edit form to just that row.,Self-directed,
45,3 - Hotwire,Build,Turbo Frames,Add tabbed interface on Project show page: Overview / Time Entries / Files / Invoices. Each tab loads via Turbo Frame (lazy loaded).,Self-directed,
46,3 - Hotwire,Learn,Turbo Streams,Study Turbo Streams: append/prepend/replace/remove. Understand broadcast from models via Action Cable.,hotwired.dev,
47,3 - Hotwire,Build,Turbo Streams,Add Turbo Stream responses to TimeEntry create/update/destroy: entries appear/update/remove from the list without page reload.,Self-directed,
48,3 - Hotwire,Build,Turbo Streams,"Add real-time invoice status updates: when an invoice is marked as paid, all connected clients see the status change live via broadcast.",Self-directed,
49,3 - Hotwire,Learn,Stimulus,Read Stimulus handbook. Understand controllers/targets/values/actions lifecycle.,stimulus.hotwired.dev,
50,3 - Hotwire,Build,Stimulus,"Build a live time tracking timer with Stimulus: start/stop button, running clock display, auto-saves when stopped. Store timer state in Stimulus values.",Self-directed,
51,3 - Hotwire,Build,Stimulus,"Build invoice line item editor with Stimulus: dynamically add/remove line items, auto-calculate row totals and invoice grand total as user types quantities/prices.",Self-directed,
52,3 - Hotwire,Build,Stimulus,"Build debounced client search: type in search box, Stimulus controller fires request after 300ms pause, results load in Turbo Frame.",Self-directed,
53,3 - Hotwire,Learn,Stimulus Advanced,Study Stimulus lifecycle callbacks and reusable controller patterns. Explore stimulus-use library.,stimulus.hotwired.dev,
54,3 - Hotwire,Build,Stimulus,"Add dropdown menus, confirmation modals for delete actions, and toast notifications using Stimulus controllers. No external JS libraries.",Self-directed,
55,3 - Hotwire,Learn,ViewComponent,Install ViewComponent gem. Understand slots/previews/testing patterns.,ViewComponent docs,
56,3 - Hotwire,Build,ViewComponent,"Extract reusable components: StatusBadge (draft/sent/paid/overdue), DataTable (sortable headers), EmptyState, StatCard (for dashboard metrics).",Self-directed,
57,3 - Hotwire,Build,Dashboard,"Build BillFlow dashboard with ViewComponents and Turbo Frames: total revenue, outstanding invoices, hours this week, recent activity. Each card is a lazy-loaded frame.",Self-directed,
58,3 - Hotwire,Build,Dashboard,"Add mini charts to dashboard (revenue over time, hours by project). Use a simple charting approach (CSS-only bar charts or Chart.js with Stimulus controller).",Self-directed,
59,3 - Hotwire,Build,Notifications,"Build in-app notification system: flash messages via Turbo Streams, notification dropdown with unread count, mark as read. Broadcast new notifications in real-time.",Self-directed,
60,3 - Hotwire,Build,Consolidation,Polish all Hotwire interactions. Ensure no full page reloads for common actions. Add loading states (Turbo frame loading indicators). Test all Stimulus controllers.,Self-directed,
61,4 - Background Jobs,Learn,Active Job Basics,Read Active Job guide. Understand adapters and queues. Write a basic job.,Rails Guides - Active Job,
62,4 - Background Jobs,Learn,Solid Queue,Set up Solid Queue. Configure multiple queues with priorities. Understand the database-backed approach.,Solid Queue GitHub,
63,4 - Background Jobs,Build,PDF Generation,Create InvoiceGeneratorJob: generates PDF invoice using Prawn or wicked_pdf. Attach PDF to invoice record via Active Storage. Update invoice status when complete.,Self-directed,
64,4 - Background Jobs,Build,Email Delivery,Move invoice sending to background: SendInvoiceJob generates PDF then emails it. Add job status tracking so user sees 'Sending...' state on the UI via Turbo Stream.,Self-directed,
65,4 - Background Jobs,Learn,Job Patterns,Study idempotent jobs and retry strategies. Implement failure handling with dead letter patterns.,Rails Guides - Active Job,
66,4 - Background Jobs,Build,Bulk Operations,Build BulkInvoiceJob: generate invoices for all clients with unbilled time in one click. Process each client as a sub-job. Report progress via Turbo Streams.,Self-directed,
67,4 - Background Jobs,Build,CSV Export,Build ExportJob: export time entries or invoices to CSV for a date range. Large exports run in background. Notify user via Turbo Stream when file is ready for download.,Self-directed,
68,4 - Background Jobs,Learn,Action Cable,Deep dive into Action Cable. Understand channels/subscriptions/broadcasting.,Rails Guides - Action Cable,
69,4 - Background Jobs,Build,Live Timer Sync,"Use Action Cable to sync the running timer across browser tabs. If timer is running in one tab, show the active timer in other tabs. Handle connection/disconnection.",Self-directed,
70,4 - Background Jobs,Learn,Scheduling,Set up recurring jobs with Solid Queue. Understand cron-style scheduling.,Solid Queue docs,
71,4 - Background Jobs,Build,Scheduled Tasks,"Create recurring jobs: OverdueInvoiceCheckerJob (daily, marks invoices overdue and sends reminder), WeeklyReportJob (sends weekly hours summary email to freelancer).",Self-directed,
72,4 - Background Jobs,Build,Consolidation,Test all jobs thoroughly. Handle edge cases: what if PDF generation fails? What if email bounces? Add retry limits and error notifications to the freelancer.,Self-directed,
73,5 - APIs & Integrations,Learn,RESTful API Design,Study REST API design. Understand versioning strategies and JSON response patterns.,REST API best practices,
74,5 - APIs & Integrations,Build,API Setup,Create API::V1 namespace. Build API::V1::ClientsController and API::V1::TimeEntriesController with JSON responses. Use jbuilder views for serialization.,Self-directed,
75,5 - APIs & Integrations,Learn,API Auth,Study API authentication approaches: API keys vs JWT vs OAuth2.,Rails Guides - Security,
76,5 - APIs & Integrations,Build,API Auth,"Implement API token auth for BillFlow: generate API keys in user settings, authenticate via Authorization header, scope all queries to token owner.",Self-directed,
77,5 - APIs & Integrations,Build,API Endpoints,"Build remaining API endpoints: Projects (CRUD), Invoices (read-only), Timer (start/stop). Return proper status codes and error responses.",Self-directed,
78,5 - APIs & Integrations,Learn,Rate Limiting,Study Rack::Attack. Configure throttles per endpoint and per API key.,rack-attack GitHub,
79,5 - APIs & Integrations,Build,Rate Limiting,Add rate limiting to BillFlow API: 100 requests/minute per key. Return 429 with Retry-After header. Add rate limit headers (X-RateLimit-Remaining) to all responses.,Self-directed,
80,5 - APIs & Integrations,Learn,Webhooks,Study webhook patterns: signatures and async processing and retry strategies.,Self-directed,
81,5 - APIs & Integrations,Build,Webhooks,"Build outgoing webhooks: allow users to register a URL. Fire webhooks on invoice.paid, timer.stopped, invoice.overdue events. Queue delivery via background job with exponential backoff.",Self-directed,
82,5 - APIs & Integrations,Learn,Stripe Basics,Read Stripe docs on Checkout/Products/Prices. Understand the payment flow and webhook events.,Stripe docs,
83,5 - APIs & Integrations,Build,Stripe Setup,"Integrate Stripe: create a 'Pay Invoice' flow where clients click a link in their invoice email, land on a payment page, and pay via Stripe Checkout. Handle checkout.session.completed webhook.",Self-directed,
84,5 - APIs & Integrations,Build,Stripe Webhooks,Handle Stripe webhook events: mark invoice as paid when payment succeeds. Handle payment_failed. Store Stripe charge ID on invoice for reference. Verify webhook signatures.,Self-directed,
85,5 - APIs & Integrations,Build,Client Portal,Build a simple client portal: clients access via a signed token URL (no login needed). They see their invoices and can pay outstanding ones. Read-only view of project progress.,Self-directed,
86,5 - APIs & Integrations,Learn,External APIs,Study Faraday for HTTP clients. Implement timeout/retry/circuit breaker patterns.,Faraday docs,
87,5 - APIs & Integrations,Build,Currency Rates,"Integrate a free currency exchange API: if invoice currency differs from client currency, fetch and display converted total. Cache rates for 24h. Handle API downtime gracefully.",Self-directed,
88,5 - APIs & Integrations,Build,Consolidation,Write API documentation (in-app or simple markdown). Test all API endpoints with integration tests. Verify Stripe webhook handling end-to-end in test mode.,Self-directed,
89,6 - Performance,Learn,N+1 Queries,Install bullet gem. Study EXPLAIN ANALYZE output. Learn to read query plans.,bullet GitHub + PostgreSQL docs,
90,6 - Performance,Build,Query Fixes,"Run bullet on all BillFlow pages. Fix every N+1 detected: client index (projects count), invoice index (line items total), dashboard (multiple aggregations). Verify with query logs.",Self-directed,
91,6 - Performance,Learn,Indexing,Study index strategies: composite/partial/covering indexes. Read Use The Index Luke.,Use The Index Luke (web book),
92,6 - Performance,Build,Indexing,"Add strategic indexes to BillFlow: composite index on time_entries(project_id, billable, started_at), partial index on invoices WHERE status != 'paid'. Benchmark before/after.",Self-directed,
93,6 - Performance,Learn,Fragment Caching,Study Russian Doll caching. Understand cache keys and touch cascading.,Rails Guides - Caching,
94,6 - Performance,Build,Fragment Caching,"Add fragment caching to BillFlow: cache client cards on index, cache project sidebar, cache invoice line items table. Use touch to invalidate parent caches.",Self-directed,
95,6 - Performance,Learn,Low-Level Caching,Study Rails.cache store options. Understand TTL and eviction strategies.,Rails Guides - Caching,
96,6 - Performance,Build,Low-Level Caching,"Cache expensive dashboard calculations: monthly revenue, total outstanding, hours this week. Invalidate on relevant model changes. Add counter caches for project time_entries_count.",Self-directed,
97,6 - Performance,Learn,Profiling,Study rack-mini-profiler and memory profiling. Understand object allocation.,rack-mini-profiler GitHub,
98,6 - Performance,Build,Profiling,"Profile BillFlow with rack-mini-profiler. Identify slowest pages. Optimize: batch find_each for reports, reduce memory in PDF generation, optimize Active Storage variant processing.",Self-directed,
99,6 - Performance,Learn,Load Testing,Study load testing with k6 or similar. Understand concurrency bottlenecks.,k6 docs,
100,6 - Performance,Build,Load Testing,"Load test BillFlow: hit dashboard, client index, and invoice creation under 50 concurrent users. Identify bottlenecks. Add database connection pooling config. Re-test and document improvements.",Self-directed,
101,6 - Performance,Build,Frontend Performance,"Optimize BillFlow frontend: lazy load below-fold Turbo Frames, compress images, add preload hints for critical assets. Measure Core Web Vitals before/after.",web.dev,
102,6 - Performance,Build,Consolidation,Final performance pass: ensure all pages load under 200ms locally. Document all optimizations made and their impact. Run full test suite to verify nothing broke.,Self-directed,
103,7 - Deployment,Learn,Docker,Write a Dockerfile for Rails. Understand layers and multi-stage builds.,Docker docs,
104,7 - Deployment,Build,Docker,"Write production Dockerfile for BillFlow: multi-stage build, asset precompilation, proper user permissions. Create docker-compose.yml for local dev: app + postgres + solid_queue worker.",Docker docs,
105,7 - Deployment,Learn,Kamal Basics,Read Kamal docs. Understand how it deploys containers to bare servers.,Kamal docs (kamal-deploy.org),
106,7 - Deployment,Build,Kamal Config,"Configure Kamal for BillFlow: set up deploy.yml with accessories (PostgreSQL, Solid Queue worker). Configure health checks and environment variables via .env.",Kamal docs,
107,7 - Deployment,Build,First Deploy,"Provision a VPS (Hetzner/DigitalOcean/etc). Deploy BillFlow with Kamal. Run migrations, seed data, verify the app works in production.",Self-directed,
108,7 - Deployment,Learn,Zero Downtime,Study rolling deployments and health checks. Understand blue-green vs rolling strategies.,Kamal docs,
109,7 - Deployment,Build,Zero Downtime,"Practice zero-downtime deploy: add a migration, deploy, verify no dropped requests. Configure Kamal boot timeout and health check path.",Self-directed,
110,7 - Deployment,Learn,Database Ops,Study production database management: backups/restores/migrations under load.,PostgreSQL admin docs,
111,7 - Deployment,Build,Database Ops,Set up automated daily PostgreSQL backups with pg_dump to object storage. Write a restore script and test it. Practice point-in-time recovery.,Self-directed,
112,7 - Deployment,Learn,Monitoring,Study application monitoring and structured logging approaches.,Lograge + Sentry docs,
113,7 - Deployment,Build,Monitoring,Add Lograge for structured JSON logs. Set up error tracking (Sentry or Honeybadger). Add custom instrumentation with ActiveSupport::Notifications for invoice generation timing.,Self-directed,
114,7 - Deployment,Build,Alerting,"Configure alerts: error rate spikes, job queue depth, response time thresholds. Set up uptime monitoring for BillFlow's production URL.",Self-directed,
115,7 - Deployment,Learn,Security,Study OWASP Top 10 and Rails security best practices. Learn Brakeman.,Rails Guides - Security + Brakeman docs,
116,7 - Deployment,Build,Security,Run Brakeman on BillFlow. Fix all warnings. Implement CSP headers. Audit: are API tokens hashed? Are Stripe keys in ENV? Is CSRF protection solid? Add brute-force protection to client portal.,Self-directed,
117,7 - Deployment,Learn,CI/CD,Study GitHub Actions for Rails apps. Understand test/lint/security scan pipelines.,GitHub Actions docs,
118,7 - Deployment,Build,CI/CD,"Set up GitHub Actions for BillFlow: run tests, RuboCop, Brakeman on every push. Auto-deploy to production on merge to main via Kamal.",Self-directed,
119,7 - Deployment,Build,SSL & Domain,Configure custom domain with SSL for BillFlow. Set up proper DNS. Configure ActionMailer host settings for production email links.,Self-directed,
120,7 - Deployment,Build,Consolidation,"Full production readiness check: backups verified, monitoring live, CI green, SSL working, error tracking capturing, logs structured. Run through every feature in production.",Self-directed,
121,8 - Advanced Patterns,Learn,Service Objects,Study service object patterns. Command pattern with result objects.,Toptal/Thoughtbot blog posts,
122,8 - Advanced Patterns,Build,Service Objects,"Extract services from BillFlow: InvoiceGenerator (creates invoice from time entries), InvoiceSender (generates PDF + emails), PaymentProcessor (handles Stripe flow). Each returns a Result object with success/failure.",Self-directed,
123,8 - Advanced Patterns,Learn,Form Objects,Study form objects for complex multi-model forms.,ActiveModel docs,
124,8 - Advanced Patterns,Build,Form Objects,"Build TimerForm: handles creating a time entry with optional new project creation in one form. Build InvoiceForm: validates line items, calculates totals, handles nested attributes cleanly.",Self-directed,
125,8 - Advanced Patterns,Learn,Query Objects,Study query object pattern. Make queries composable and testable.,Self-directed,
126,8 - Advanced Patterns,Build,Query Objects,"Extract query objects: ClientRevenueQuery (total revenue per client with date range), UnbilledTimeQuery (time entries ready for invoicing), OverdueInvoicesQuery (with days overdue calculation).",Self-directed,
127,8 - Advanced Patterns,Learn,Policy Objects,Study Pundit for authorization. Build policy objects.,Pundit GitHub,
128,8 - Advanced Patterns,Build,Policy Objects,"Add Pundit to BillFlow: InvoicePolicy (can only send if draft, can only mark paid if sent), ProjectPolicy (can only archive if no unbilled time), TimeEntryPolicy (can only edit if invoice is still draft).",Self-directed,
129,8 - Advanced Patterns,Learn,Decorators,Study presenter/decorator pattern with Draper or plain Ruby.,Draper docs,
130,8 - Advanced Patterns,Build,Decorators,"Create decorators: InvoiceDecorator (formatted total, status label, due date display), ClientDecorator (full address, outstanding balance display), TimeEntryDecorator (formatted duration, date range).",Self-directed,
131,8 - Advanced Patterns,Learn,State Machines,Study AASM gem. Model complex workflows as state machines.,AASM GitHub,
132,8 - Advanced Patterns,Build,State Machines,"Implement Invoice state machine: draft → sent → viewed → paid (or overdue). Add guards (can't send without line items), callbacks (email on send, webhook on paid), and event logging.",Self-directed,
133,8 - Advanced Patterns,Learn,Event-Driven,Study pub/sub with ActiveSupport::Notifications or Wisper. Understand decoupling benefits.,Wisper GitHub,
134,8 - Advanced Patterns,Build,Event-Driven,Implement domain events in BillFlow: InvoicePaid fires webhook + updates dashboard cache + sends receipt. TimerStopped creates time entry + updates project stats. Decouple side effects from core logic.,Self-directed,
135,8 - Advanced Patterns,Learn,Multi-tenancy,Study multi-tenant approaches. Understand row-based vs schema-based.,ActsAsTenant docs,
136,8 - Advanced Patterns,Build,Multi-tenancy,Add multi-tenancy to BillFlow: multiple freelancer accounts on one instance. Row-based with ActsAsTenant or current_account pattern. Each freelancer sees only their own data. Add account switcher UI.,Self-directed,
137,8 - Advanced Patterns,Learn,Engines,Study Rails Engines. Understand mountable vs full engines.,Rails Guides - Engines,
138,8 - Advanced Patterns,Build,Engines,"Extract BillFlow's client portal into a mountable engine: separate routes, controllers, views. The portal can be mounted at /portal and has its own layout.",Self-directed,
139,8 - Advanced Patterns,Learn,Metaprogramming,Study Ruby metaprogramming: define_method/method_missing/class_eval. How Rails uses these patterns internally.,Metaprogramming Ruby (book),
140,8 - Advanced Patterns,Build,Metaprogramming,Build a small DSL for BillFlow: a reportable concern that lets models declare `reportable :field_name` to auto-generate aggregation methods and scopes. Test it on TimeEntry and Invoice.,Self-directed,
141,8 - Advanced Patterns,Build,Consolidation,Review all patterns applied. Write tests for every service/form/query/policy object. Ensure the refactored code is cleaner than before. Run full suite green.,Self-directed,
142,9 - Polish & Launch,Build,User Auth,"Add proper user authentication (Devise or custom). Registration, login, password reset, session management. Lock down all controllers to require authentication.",Self-directed,
143,9 - Polish & Launch,Build,Onboarding,"Build onboarding flow: after signup, guide user through creating first client, first project, and logging first time entry. Track onboarding completion.",Self-directed,
144,9 - Polish & Launch,Build,Settings,"Build user settings page: profile info, timezone, default currency, invoice template preferences, Stripe API key configuration, webhook URL management.",Self-directed,
145,9 - Polish & Launch,Build,Reports,"Build reporting section: revenue by month chart, hours by project breakdown, client profitability analysis, year-over-year comparison. Use cached query objects.",Self-directed,
146,9 - Polish & Launch,Build,Reports,Build downloadable reports: monthly income summary PDF and annual tax export CSV. Generate in background and notify when ready.,Self-directed,
147,9 - Polish & Launch,Build,Error Handling,Custom error pages (404/500) matching BillFlow's design. Add global exception handling for API. Friendly error messages for validation failures throughout.,Self-directed,
148,9 - Polish & Launch,Build,SEO & Meta,"Add meta tags, OpenGraph tags for client portal public pages, sitemap for marketing pages. Configure proper canonical URLs.",Self-directed,
149,9 - Polish & Launch,Build,Accessibility,"Accessibility audit: keyboard navigation, screen reader labels, color contrast, focus states. Fix all issues found. Test with browser accessibility tools.",Self-directed,
150,9 - Polish & Launch,Build,Mobile,Responsive testing: every page works on phone/tablet. Fix layout issues. Make timer especially mobile-friendly (big start/stop button).,Self-directed,
151,9 - Polish & Launch,Build,Landing Page,"Build a marketing landing page for BillFlow: feature highlights, pricing, signup CTA. Serves as the root path for logged-out users.",Self-directed,
152,9 - Polish & Launch,Build,Final Testing,Write system tests for the 5 most critical flows. Run full test suite. Fix any flaky tests. Verify 85%+ coverage.,Self-directed,
153,9 - Polish & Launch,Build,Production Prep,"Final production checklist: ENV vars set, seeds removed, debug code removed, Stripe in live mode, DNS propagated, SSL valid, backups running, monitoring active.",Self-directed,
154,9 - Polish & Launch,Build,Launch,Deploy final version. Sign up as a real user. Create a real client and invoice. Send a real invoice and receive a real payment. BillFlow is live.,Self-directed,
155,9 - Polish & Launch,Build,Beta Users,Invite 3-5 freelancer friends to use BillFlow. Monitor error tracking and logs closely. Note UX friction points they report.,Self-directed,
156,9 - Polish & Launch,Build,Bug Fixes,Fix the top 3 bugs or UX issues reported by beta users. Deploy fixes with zero downtime.,Self-directed,
157,9 - Polish & Launch,Build,Iteration,"Add one feature beta users requested that you didn't plan. Practice the full cycle: plan, build, test, deploy.",Self-directed,
158,9 - Polish & Launch,Build,Retrospective,"Write a retrospective: what worked, what was harder than expected, what you'd do differently. List every Rails concept you used in this project.",Self-directed,
159,10 - Open Source,Learn,Reading Code,Read Devise source. Understand how Warden middleware and strategies work under the hood.,Devise GitHub,
160,10 - Open Source,Learn,Reading Code,Read Turbo Rails source. Understand how broadcasts and stream helpers are implemented.,turbo-rails GitHub,
161,10 - Open Source,Learn,Reading Code,Read Solid Queue source. Trace how a job goes from enqueue to execution.,Solid Queue GitHub,
162,10 - Open Source,Learn,Reading Code,Read a Discourse feature end-to-end: pick one feature and read model/controller/view/jobs/tests.,Discourse GitHub,
163,10 - Open Source,Learn,Reading Code,Read Pay gem source (or Stripe integration in a real app). Compare their approach to what you built in BillFlow.,Pay gem GitHub,
164,10 - Open Source,Learn,Contributing,Find a Rails issue labeled 'good first issue'. Read the contributing guide. Understand the PR process.,rails/rails GitHub,
165,10 - Open Source,Build,Contributing,Submit a documentation fix or small bug fix to Rails or a gem you used in BillFlow.,rails/rails GitHub,
166,10 - Open Source,Build,Contributing,Review 2-3 open PRs on gems you used (Solid Queue / ViewComponent / AASM). Leave helpful review comments.,GitHub,
167,10 - Open Source,Build,Extract & Share,"Extract one reusable piece of BillFlow into a standalone gem or open-source repo: maybe your invoice PDF generator, timer Stimulus controller, or webhook delivery system.",Self-directed,
